sample_id,cell_line,tissue_site
OV7_OVARY,OV7,OVARY
HT55_LARGE_INTESTINE,HT55_LARGE,INTESTINE
OAW42_OVARY,OAW42,OVARY
MDST8_LARGE_INTESTINE,MDST8_LARGE,INTESTINE
OAW28_OVARY,OAW28,OVARY
SUIT2_PANCREAS,SUIT2,PANCREAS
LC1SQSF_LUNG,LC1SQSF,LUNG
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKHEP1_LIVER,SKHEP1,LIVER
OVCAR8_OVARY,OVCAR8,OVARY
NCIH2172_LUNG,NCIH2172,LUNG
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,ISHIKAWAHERAKLIO02ER,ENDOMETRIUM
NCIH596_LUNG,NCIH596,LUNG
NCIH650_LUNG,NCIH650,LUNG
SW1573_LUNG,SW1573,LUNG
OVMANA_OVARY,OVMANA,OVARY
SKCO1_LARGE_INTESTINE,SKCO1_LARGE,INTESTINE
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
YAPC_PANCREAS,YAPC,PANCREAS
HT1197_URINARY_TRACT,HT1197_URINARY,TRACT
A253_SALIVARY_GLAND,A253_SALIVARY,GLAND
HCC366_LUNG,HCC366,LUNG
DKMG_CENTRAL_NERVOUS_SYSTEM,DKMG_CENTRAL_NERVOUS,SYSTEM
SNU349_KIDNEY,SNU349,KIDNEY
UMUC1_URINARY_TRACT,UMUC1_URINARY,TRACT
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NCIH292_LUNG,NCIH292,LUNG
59M_OVARY,59M,OVARY
U118MG_CENTRAL_NERVOUS_SYSTEM,U118MG_CENTRAL_NERVOUS,SYSTEM
VMRCLCD_LUNG,VMRCLCD,LUNG
HCC1833_LUNG,HCC1833,LUNG
RH30_SOFT_TISSUE,RH30_SOFT,TISSUE
TCCSUP_URINARY_TRACT,TCCSUP_URINARY,TRACT
SNU601_STOMACH,SNU601,STOMACH
CAL33_UPPER_AERODIGESTIVE_TRACT,CAL33_UPPER_AERODIGESTIVE,TRACT
SNU668_STOMACH,SNU668,STOMACH
CORL279_LUNG,CORL279,LUNG
GB1_CENTRAL_NERVOUS_SYSTEM,GB1_CENTRAL_NERVOUS,SYSTEM
KURAMOCHI_OVARY,KURAMOCHI,OVARY
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,COLO775_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
COLO684_ENDOMETRIUM,COLO684,ENDOMETRIUM
KLM1_PANCREAS,KLM1,PANCREAS
GRM_SKIN,GRM,SKIN
SNU685_ENDOMETRIUM,SNU685,ENDOMETRIUM
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK86_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNU886_LIVER,SNU886,LIVER
HCT8_LARGE_INTESTINE,HCT8_LARGE,INTESTINE
NCCSTCK140_STOMACH,NCCSTCK140,STOMACH
NCIH3255_LUNG,NCIH3255,LUNG
SNU719_STOMACH,SNU719,STOMACH
SNU489_CENTRAL_NERVOUS_SYSTEM,SNU489_CENTRAL_NERVOUS,SYSTEM
SNU81_LARGE_INTESTINE,SNU81_LARGE,INTESTINE
A2058_SKIN,A2058,SKIN
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HTK_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNU1040_LARGE_INTESTINE,SNU1040_LARGE,INTESTINE
SNU1076_UPPER_AERODIGESTIVE_TRACT,SNU1076_UPPER_AERODIGESTIVE,TRACT
SNU175_LARGE_INTESTINE,SNU175_LARGE,INTESTINE
SNU407_LARGE_INTESTINE,SNU407_LARGE,INTESTINE
SNU201_CENTRAL_NERVOUS_SYSTEM,SNU201_CENTRAL_NERVOUS,SYSTEM
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS20_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNU216_STOMACH,SNU216,STOMACH
SNU1196_BILIARY_TRACT,SNU1196_BILIARY,TRACT
SNU1079_BILIARY_TRACT,SNU1079_BILIARY,TRACT
HCC1195_LUNG,HCC1195,LUNG
NCIH854_LUNG,NCIH854,LUNG
SNU466_CENTRAL_NERVOUS_SYSTEM,SNU466_CENTRAL_NERVOUS,SYSTEM
YD38_UPPER_AERODIGESTIVE_TRACT,YD38_UPPER_AERODIGESTIVE,TRACT
SNU1105_CENTRAL_NERVOUS_SYSTEM,SNU1105_CENTRAL_NERVOUS,SYSTEM
SNU283_LARGE_INTESTINE,SNU283_LARGE,INTESTINE
SNU46_UPPER_AERODIGESTIVE_TRACT,SNU46_UPPER_AERODIGESTIVE,TRACT
SNU308_BILIARY_TRACT,SNU308_BILIARY,TRACT
YD8_UPPER_AERODIGESTIVE_TRACT,YD8_UPPER_AERODIGESTIVE,TRACT
SNU245_BILIARY_TRACT,SNU245_BILIARY,TRACT
SNU478_BILIARY_TRACT,SNU478_BILIARY,TRACT
SNU410_PANCREAS,SNU410,PANCREAS
SNU899_UPPER_AERODIGESTIVE_TRACT,SNU899_UPPER_AERODIGESTIVE,TRACT
SNU503_LARGE_INTESTINE,SNU503_LARGE,INTESTINE
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SET2_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNU738_CENTRAL_NERVOUS_SYSTEM,SNU738_CENTRAL_NERVOUS,SYSTEM
SNU626_CENTRAL_NERVOUS_SYSTEM,SNU626_CENTRAL_NERVOUS,SYSTEM
SNU869_BILIARY_TRACT,SNU869_BILIARY,TRACT
SNU878_LIVER,SNU878,LIVER
SNU840_OVARY,SNU840,OVARY
SNU8_OVARY,SNU8,OVARY
NCIH684_LIVER,NCIH684,LIVER
IGR39_SKIN,IGR39,SKIN
DAOY_CENTRAL_NERVOUS_SYSTEM,DAOY_CENTRAL_NERVOUS,SYSTEM
HEP3B217_LIVER,HEP3B217,LIVER
KYM1_SOFT_TISSUE,KYM1_SOFT,TISSUE
LC1F_LUNG,LC1F,LUNG
HLE_LIVER,HLE,LIVER
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
JMSU1_URINARY_TRACT,JMSU1_URINARY,TRACT
IMR32_AUTONOMIC_GANGLIA,IMR32_AUTONOMIC,GANGLIA
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
T3M4_PANCREAS,T3M4,PANCREAS
COLO818_SKIN,COLO818,SKIN
PK45H_PANCREAS,PK45H,PANCREAS
HEC59_ENDOMETRIUM,HEC59,ENDOMETRIUM
CPCN_LUNG,CPCN,LUNG
T3M10_LUNG,T3M10,LUNG
NUGC2_STOMACH,NUGC2,STOMACH
PLCPRF5_LIVER,PLCPRF5,LIVER
KPNYN_AUTONOMIC_GANGLIA,KPNYN_AUTONOMIC,GANGLIA
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCFSTTG1_CENTRAL_NERVOUS,SYSTEM
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
KMRC3_KIDNEY,KMRC3,KIDNEY
NCIH2023_LUNG,NCIH2023,LUNG
DMS153_LUNG,DMS153,LUNG
NCIH1048_LUNG,NCIH1048,LUNG
D341MED_CENTRAL_NERVOUS_SYSTEM,D341MED_CENTRAL_NERVOUS,SYSTEM
NCIH660_PROSTATE,NCIH660,PROSTATE
NCIH1618_LUNG,NCIH1618,LUNG
HS675T_FIBROBLAST,HS675T,FIBROBLAST
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PEER_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HT144_SKIN,HT144,SKIN
SKMEL31_SKIN,SKMEL31,SKIN
HS839T_FIBROBLAST,HS839T,FIBROBLAST
HS939T_SKIN,HS939T,SKIN
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HS819T_FIBROBLAST,HS819T,FIBROBLAST
NCIH69_LUNG,NCIH69,LUNG
DV90_LUNG,DV90,LUNG
ZR751_BREAST,ZR751,BREAST
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KG1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKNBE2_AUTONOMIC_GANGLIA,SKNBE2_AUTONOMIC,GANGLIA
HCC70_BREAST,HCC70,BREAST
NCIH2452_PLEURA,NCIH2452,PLEURA
SNU1_STOMACH,SNU1,STOMACH
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HCC56_LARGE_INTESTINE,HCC56_LARGE,INTESTINE
NCIH1648_LUNG,NCIH1648,LUNG
TO175T_FIBROBLAST,TO175T,FIBROBLAST
GLC82_LUNG,GLC82,LUNG
MPP89_PLEURA,MPP89,PLEURA
PANC0813_PANCREAS,PANC0813,PANCREAS
MG63_BONE,MG63,BONE
PK1_PANCREAS,PK1,PANCREAS
HS840T_FIBROBLAST,HS840T,FIBROBLAST
NCIH23_LUNG,NCIH23,LUNG
TE617T_SOFT_TISSUE,TE617T_SOFT,TISSUE
SW1088_CENTRAL_NERVOUS_SYSTEM,SW1088_CENTRAL_NERVOUS,SYSTEM
ISTMES2_PLEURA,ISTMES2,PLEURA
NCIH1373_LUNG,NCIH1373,LUNG
NCIH1930_LUNG,NCIH1930,LUNG
NCIH1623_LUNG,NCIH1623,LUNG
HS229T_FIBROBLAST,HS229T,FIBROBLAST
NCIH1838_LUNG,NCIH1838,LUNG
NCIH1836_LUNG,NCIH1836,LUNG
HS688AT_FIBROBLAST,HS688AT,FIBROBLAST
PANC0504_PANCREAS,PANC0504,PANCREAS
HS822T_FIBROBLAST,HS822T,FIBROBLAST
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL70_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CI1_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
G292CLONEA141B1_BONE,G292CLONEA141B1,BONE
RCM1_LARGE_INTESTINE,RCM1_LARGE,INTESTINE
HS737T_FIBROBLAST,HS737T,FIBROBLAST
HS616T_FIBROBLAST,HS616T,FIBROBLAST
HS600T_FIBROBLAST,HS600T,FIBROBLAST
TE159T_FIBROBLAST,TE159T,FIBROBLAST
A101D_SKIN,A101D,SKIN
NCIH1755_LUNG,NCIH1755,LUNG
143B_BONE,143B,BONE
RERFLCKJ_LUNG,RERFLCKJ,LUNG
NCIH1693_LUNG,NCIH1693,LUNG
SW780_URINARY_TRACT,SW780_URINARY,TRACT
HS683_CENTRAL_NERVOUS_SYSTEM,HS683_CENTRAL_NERVOUS,SYSTEM
RKO_LARGE_INTESTINE,RKO_LARGE,INTESTINE
HS729_SOFT_TISSUE,HS729_SOFT,TISSUE
JHOS2_OVARY,JHOS2,OVARY
MCF7_BREAST,MCF7,BREAST
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U937_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SKLMS1_SOFT_TISSUE,SKLMS1_SOFT,TISSUE
HUTU80_SMALL_INTESTINE,HUTU80_SMALL,INTESTINE
HCC202_BREAST,HCC202,BREAST
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG01_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REH_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ONS76_CENTRAL_NERVOUS_SYSTEM,ONS76_CENTRAL_NERVOUS,SYSTEM
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SNUC1_LARGE_INTESTINE,SNUC1_LARGE,INTESTINE
SKNDZ_AUTONOMIC_GANGLIA,SKNDZ_AUTONOMIC,GANGLIA
DMS114_LUNG,DMS114,LUNG
TT_OESOPHAGUS,TT,OESOPHAGUS
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY10_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ST486_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
OC315_OVARY,OC315,OVARY
OC314_OVARY,OC314,OVARY
SW1353_BONE,SW1353,BONE
MDAMB157_BREAST,MDAMB157,BREAST
LN18_CENTRAL_NERVOUS_SYSTEM,LN18_CENTRAL_NERVOUS,SYSTEM
769P_KIDNEY,769P,KIDNEY
786O_KIDNEY,786O,KIDNEY
CAOV3_OVARY,CAOV3,OVARY
HEPG2_LIVER,HEPG2,LIVER
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT4_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NCIH524_LUNG,NCIH524,LUNG
NCIH209_LUNG,NCIH209,LUNG
MIAPACA2_PANCREAS,MIAPACA2,PANCREAS
MCAS_OVARY,MCAS,OVARY
SBC5_LUNG,SBC5,LUNG
COLO829_SKIN,COLO829,SKIN
VCAP_PROSTATE,VCAP,PROSTATE
COLO704_OVARY,COLO704,OVARY
IPC298_SKIN,IPC298,SKIN
CAPAN2_PANCREAS,CAPAN2,PANCREAS
EFM192A_BREAST,EFM192A,BREAST
HS766T_PANCREAS,HS766T,PANCREAS
EFO27_OVARY,EFO27,OVARY
A2780_OVARY,A2780,OVARY
NCIH196_LUNG,NCIH196,LUNG
IGROV1_OVARY,IGROV1,OVARY
NCIH889_LUNG,NCIH889,LUNG
NCIH211_LUNG,NCIH211,LUNG
HS571T_OVARY,HS571T,OVARY
MDAPCA2B_PROSTATE,MDAPCA2B,PROSTATE
SKMEL24_SKIN,SKMEL24,SKIN
K029AX_SKIN,K029AX,SKIN
HT1376_URINARY_TRACT,HT1376_URINARY,TRACT
NCIH2171_LUNG,NCIH2171,LUNG
PANC1005_PANCREAS,PANC1005,PANCREAS
EVSAT_BREAST,EVSAT,BREAST
HS695T_SKIN,HS695T,SKIN
CHL1_SKIN,CHL1,SKIN
LOUNH91_LUNG,LOUNH91,LUNG
LK2_LUNG,LK2,LUNG
TOV21G_OVARY,TOV21G,OVARY
SKMEL3_SKIN,SKMEL3,SKIN
ASPC1_PANCREAS,ASPC1,PANCREAS
OVSAHO_OVARY,OVSAHO,OVARY
NCIH441_LUNG,NCIH441,LUNG
RERFLCSQ1_LUNG,RERFLCSQ1,LUNG
NCIH2030_LUNG,NCIH2030,LUNG
HMCB_SKIN,HMCB,SKIN
FUOV1_OVARY,FUOV1,OVARY
MALME3M_SKIN,MALME3M,SKIN
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
T98G_CENTRAL_NERVOUS_SYSTEM,T98G_CENTRAL_NERVOUS,SYSTEM
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL60_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,DBTRG05MG_CENTRAL_NERVOUS,SYSTEM
HEYA8_OVARY,HEYA8,OVARY
NCIH2122_LUNG,NCIH2122,LUNG
MELJUSO_SKIN,MELJUSO,SKIN
SW620_LARGE_INTESTINE,SW620_LARGE,INTESTINE
HCT116_LARGE_INTESTINE,HCT116_LARGE,INTESTINE
VMRCRCZ_KIDNEY,VMRCRCZ,KIDNEY
DU145_PROSTATE,DU145,PROSTATE
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MM1S_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
L33_PANCREAS,L33,PANCREAS
SKMEL2_SKIN,SKMEL2,SKIN
A549_LUNG,A549,LUNG
A172_CENTRAL_NERVOUS_SYSTEM,A172_CENTRAL_NERVOUS,SYSTEM
NCIH1975_LUNG,NCIH1975,LUNG
COLO679_SKIN,COLO679,SKIN
KP2_PANCREAS,KP2,PANCREAS
HUH1_LIVER,HUH1,LIVER
MDAMB453_BREAST,MDAMB453,BREAST
PANC0403_PANCREAS,PANC0403,PANCREAS
TYKNU_OVARY,TYKNU,OVARY
OVISE_OVARY,OVISE,OVARY
EFM19_BREAST,EFM19,BREAST
MELHO_SKIN,MELHO,SKIN
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RL_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
G361_SKIN,G361,SKIN
NCIH647_LUNG,NCIH647,LUNG
GMS10_CENTRAL_NERVOUS_SYSTEM,GMS10_CENTRAL_NERVOUS,SYSTEM
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SEM_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HLFA_FIBROBLAST,HLFA,FIBROBLAST
42MGBA_CENTRAL_NERVOUS_SYSTEM,42MGBA_CENTRAL_NERVOUS,SYSTEM
KCIMOH1_PANCREAS,KCIMOH1,PANCREAS
HCC44_LUNG,HCC44,LUNG
KYSE70_OESOPHAGUS,KYSE70,OESOPHAGUS
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1_CENTRAL_NERVOUS,SYSTEM
GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG_CENTRAL_NERVOUS,SYSTEM
NCIH522_LUNG,NCIH522,LUNG
EN_ENDOMETRIUM,EN,ENDOMETRIUM
PK59_PANCREAS,PK59,PANCREAS
SNB19_CENTRAL_NERVOUS_SYSTEM,SNB19_CENTRAL_NERVOUS,SYSTEM
COLO741_SKIN,COLO741,SKIN
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
NCIH661_LUNG,NCIH661,LUNG
LNCAPCLONEFGC_PROSTATE,LNCAPCLONEFGC,PROSTATE
LS411N_LARGE_INTESTINE,LS411N_LARGE,INTESTINE
HCC78_LUNG,HCC78,LUNG
YKG1_CENTRAL_NERVOUS_SYSTEM,YKG1_CENTRAL_NERVOUS,SYSTEM
ESS1_ENDOMETRIUM,ESS1,ENDOMETRIUM
U251MG_CENTRAL_NERVOUS_SYSTEM,U251MG_CENTRAL_NERVOUS,SYSTEM
TE11_OESOPHAGUS,TE11,OESOPHAGUS
KS1_CENTRAL_NERVOUS_SYSTEM,KS1_CENTRAL_NERVOUS,SYSTEM
HEC1A_ENDOMETRIUM,HEC1A,ENDOMETRIUM
TE1_OESOPHAGUS,TE1,OESOPHAGUS
JHUEM2_ENDOMETRIUM,JHUEM2,ENDOMETRIUM
MOGGUVW_CENTRAL_NERVOUS_SYSTEM,MOGGUVW_CENTRAL_NERVOUS,SYSTEM
RERFLCAD1_LUNG,RERFLCAD1,LUNG
TE5_OESOPHAGUS,TE5,OESOPHAGUS
KELLY_AUTONOMIC_GANGLIA,KELLY_AUTONOMIC,GANGLIA
NCIH1155_LUNG,NCIH1155,LUNG
TE15_OESOPHAGUS,TE15,OESOPHAGUS
ABC1_LUNG,ABC1,LUNG
8MGBA_CENTRAL_NERVOUS_SYSTEM,8MGBA_CENTRAL_NERVOUS,SYSTEM
NCIH1703_LUNG,NCIH1703,LUNG
AGS_STOMACH,AGS,STOMACH
QGP1_PANCREAS,QGP1,PANCREAS
DETROIT562_UPPER_AERODIGESTIVE_TRACT,DETROIT562_UPPER_AERODIGESTIVE,TRACT
BT474_BREAST,BT474,BREAST
ACHN_KIDNEY,ACHN,KIDNEY
LOVO_LARGE_INTESTINE,LOVO_LARGE,INTESTINE
NCIH1581_LUNG,NCIH1581,LUNG
SCABER_URINARY_TRACT,SCABER_URINARY,TRACT
SKMEL30_SKIN,SKMEL30,SKIN
OVKATE_OVARY,OVKATE,OVARY
22RV1_PROSTATE,22RV1,PROSTATE
C32_SKIN,C32,SKIN
PANC0327_PANCREAS,PANC0327,PANCREAS
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
DLD1_LARGE_INTESTINE,DLD1_LARGE,INTESTINE
ES2_OVARY,ES2,OVARY
NCIH1395_LUNG,NCIH1395,LUNG
NCIH1781_LUNG,NCIH1781,LUNG
LS1034_LARGE_INTESTINE,LS1034_LARGE,INTESTINE
G402_SOFT_TISSUE,G402_SOFT,TISSUE
NCIH146_LUNG,NCIH146,LUNG
SW48_LARGE_INTESTINE,SW48_LARGE,INTESTINE
CHP212_AUTONOMIC_GANGLIA,CHP212_AUTONOMIC,GANGLIA
LS180_LARGE_INTESTINE,LS180_LARGE,INTESTINE
SW403_LARGE_INTESTINE,SW403_LARGE,INTESTINE
NCIH747_LARGE_INTESTINE,NCIH747_LARGE,INTESTINE
RT4_URINARY_TRACT,RT4_URINARY,TRACT
KATOIII_STOMACH,KATOIII,STOMACH
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BDCM_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
SW1417_LARGE_INTESTINE,SW1417_LARGE,INTESTINE
SW948_LARGE_INTESTINE,SW948_LARGE,INTESTINE
HS606T_FIBROBLAST,HS606T,FIBROBLAST
MDAMB415_BREAST,MDAMB415,BREAST
DMS79_LUNG,DMS79,LUNG
NCIH2106_LUNG,NCIH2106,LUNG
SW579_THYROID,SW579,THYROID
MDAMB468_BREAST,MDAMB468,BREAST
NCIH526_LUNG,NCIH526,LUNG
TOV112D_OVARY,TOV112D,OVARY
BT549_BREAST,BT549,BREAST
NCIH2196_LUNG,NCIH2196,LUNG
CAL851_BREAST,CAL851,BREAST
EFO21_OVARY,EFO21,OVARY
A375_SKIN,A375,SKIN
HT29_LARGE_INTESTINE,HT29_LARGE,INTESTINE
NCIH446_LUNG,NCIH446,LUNG
HS294T_SKIN,HS294T,SKIN
SKMEL5_SKIN,SKMEL5,SKIN
HS944T_SKIN,HS944T,SKIN
TCCPAN2_PANCREAS,TCCPAN2,PANCREAS
DOV13_OVARY,DOV13,OVARY
RMGI_OVARY,RMGI,OVARY
PC3_PROSTATE,PC3,PROSTATE
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,K562_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
RT112_URINARY_TRACT,RT112_URINARY,TRACT
NUGC3_STOMACH,NUGC3,STOMACH
U87MG_CENTRAL_NERVOUS_SYSTEM,U87MG_CENTRAL_NERVOUS,SYSTEM
CAKI2_KIDNEY,CAKI2,KIDNEY
OE19_OESOPHAGUS,OE19,OESOPHAGUS
KMRC2_KIDNEY,KMRC2,KIDNEY
JHH2_LIVER,JHH2,LIVER
IM95_STOMACH,IM95,STOMACH
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
WM2664_SKIN,WM2664,SKIN
KMRC1_KIDNEY,KMRC1,KIDNEY
KM12_LARGE_INTESTINE,KM12_LARGE,INTESTINE
COLO849_SKIN,COLO849,SKIN
T84_LARGE_INTESTINE,T84_LARGE,INTESTINE
CALU1_LUNG,CALU1,LUNG
LOXIMVI_SKIN,LOXIMVI,SKIN
NCIH2170_LUNG,NCIH2170,LUNG
SQ1_LUNG,SQ1,LUNG
AN3CA_ENDOMETRIUM,AN3CA,ENDOMETRIUM
NCIH2444_LUNG,NCIH2444,LUNG
UACC257_SKIN,UACC257,SKIN
KYSE510_OESOPHAGUS,KYSE510,OESOPHAGUS
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID,TISSUE
HUPT4_PANCREAS,HUPT4,PANCREAS
MOGGCCM_CENTRAL_NERVOUS_SYSTEM,MOGGCCM_CENTRAL_NERVOUS,SYSTEM
KYSE30_OESOPHAGUS,KYSE30,OESOPHAGUS
KYSE150_OESOPHAGUS,KYSE150,OESOPHAGUS
PSN1_PANCREAS,PSN1,PANCREAS
NCIH1299_LUNG,NCIH1299,LUNG
PATU8988T_PANCREAS,PATU8988T,PANCREAS
IGR37_SKIN,IGR37,SKIN
LN443_CENTRAL_NERVOUS_SYSTEM,LN443_CENTRAL_NERVOUS,SYSTEM
SLR23_KIDNEY,SLR23,KIDNEY
HMEL_BREAST,HMEL,BREAST
OELE_OVARY,OELE,OVARY
LN235_CENTRAL_NERVOUS_SYSTEM,LN235_CENTRAL_NERVOUS,SYSTEM
BJHTERT_SKIN,BJHTERT,SKIN
LN428_CENTRAL_NERVOUS_SYSTEM,LN428_CENTRAL_NERVOUS,SYSTEM
SLR24_KIDNEY,SLR24,KIDNEY
EWS502_BONE,EWS502,BONE
SALE_LUNG,SALE,LUNG
HCC2814_LUNG,HCC2814,LUNG
SKRC31_KIDNEY,SKRC31,KIDNEY
TIG3TD_FIBROBLAST,TIG3TD,FIBROBLAST
TC32_BONE,TC32,BONE
SF172_CENTRAL_NERVOUS_SYSTEM,SF172_CENTRAL_NERVOUS,SYSTEM
PRECLH_PROSTATE,PRECLH,PROSTATE
U343_CENTRAL_NERVOUS_SYSTEM,U343_CENTRAL_NERVOUS,SYSTEM
RCC4_KIDNEY,RCC4,KIDNEY
LN215_CENTRAL_NERVOUS_SYSTEM,LN215_CENTRAL_NERVOUS,SYSTEM
LN464_CENTRAL_NERVOUS_SYSTEM,LN464_CENTRAL_NERVOUS,SYSTEM
SLR25_KIDNEY,SLR25,KIDNEY
U178_CENTRAL_NERVOUS_SYSTEM,U178_CENTRAL_NERVOUS,SYSTEM
F5_CENTRAL_NERVOUS_SYSTEM,F5_CENTRAL_NERVOUS,SYSTEM
HEKTE_KIDNEY,HEKTE,KIDNEY
SLR26_KIDNEY,SLR26,KIDNEY
SKRC20_KIDNEY,SKRC20,KIDNEY
SF767_CERVIX,SF767,CERVIX
A1207_CENTRAL_NERVOUS_SYSTEM,A1207_CENTRAL_NERVOUS,SYSTEM
LN319_CENTRAL_NERVOUS_SYSTEM,LN319_CENTRAL_NERVOUS,SYSTEM
HCC364_LUNG,HCC364,LUNG
UMRC6_KIDNEY,UMRC6,KIDNEY
LN382_CENTRAL_NERVOUS_SYSTEM,LN382_CENTRAL_NERVOUS,SYSTEM
IOMMLEE_CENTRAL_NERVOUS_SYSTEM,IOMMLEE_CENTRAL_NERVOUS,SYSTEM
UMRC2_KIDNEY,UMRC2,KIDNEY
DFCI024_LUNG,DFCI024,LUNG
HCC1897_LUNG,HCC1897,LUNG
SLR21_KIDNEY,SLR21,KIDNEY
LNZ308_CENTRAL_NERVOUS_SYSTEM,LNZ308_CENTRAL_NERVOUS,SYSTEM
LN340_CENTRAL_NERVOUS_SYSTEM,LN340_CENTRAL_NERVOUS,SYSTEM
HCC827GR5_LUNG,HCC827GR5,LUNG
SLR20_KIDNEY,SLR20,KIDNEY
HK2_KIDNEY,HK2,KIDNEY
EW8_BONE,EW8,BONE
UOK101_KIDNEY,UOK101,KIDNEY
JHESOAD1_OESOPHAGUS,JHESOAD1,OESOPHAGUS
